Дата: 2024-02-08 ,Доллар США курс: 91.1514
Дата: 2024-02-07 ,Доллар США курс: 90.6842
Дата: 2024-02-06 ,Доллар США курс: 91.2434
Дата: 2024-02-03 ,Доллар США курс: 90.6626
Дата: 2024-02-02 ,Доллар США курс: 90.2299
Дата: 2024-02-01 ,Доллар США курс: 89.6678
Дата: 2024-01-31 ,Доллар США курс: 89.2887
Дата: 2024-01-30 ,Доллар США курс: 89.609
Дата: 2024-01-27 ,Доллар США курс: 89.5159
Дата: 2024-01-26 ,Доллар США курс: 88.6562
Дата: 2024-01-25 ,Доллар США курс: 88.2829
Дата: 2024-01-24 ,Доллар США курс: 87.9199
Дата: 2024-01-23 ,Доллар США курс: 87.9724
Дата: 2024-01-20 ,Доллар США курс: 88.5896
Дата: 2024-01-19 ,Доллар США курс: 88.661
Дата: 2024-01-18 ,Доллар США курс: 88.354
Дата: 2024-01-17 ,Доллар США курс: 87.6457
Дата: 2024-01-16 ,Доллар США курс: 87.6772
Дата: 2024-01-13 ,Доллар США курс: 88.1324
Дата: 2024-01-12 ,Доллар США курс: 88.7818
Дата: 2024-01-11 ,Доллар США курс: 89.3939
Дата: 2024-01-10 ,Доллар США курс: 90.404
